Issue Type,External ID,Summary,Description,Labels,Priority,Story point estimate,Epic Name,Parent
Story,S-MVP-07,Create profile (POST /api/v1/profiles),"name, age>=18, bio<=500, location; валидация; JPA.

### Acceptance criteria (BDD)
Given валидный X-User-Id
When POST /api/v1/profiles
Then 201 + JSON; запись создана","profiles,api",Medium,5,,EP-MVP-2W
Sub-task,T-S-MVP-07-1,TDD: Red tests,"Подзадача для S-MVP-07: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","profiles,api,tdd",Medium,,,S-MVP-07
Sub-task,T-S-MVP-07-2,TDD: Green impl,"Подзадача для S-MVP-07: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","profiles,api,tdd",Medium,,,S-MVP-07
Sub-task,T-S-MVP-07-3,TDD: Refactor,"Подзадача для S-MVP-07: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","profiles,api,tdd",Medium,,,S-MVP-07
Sub-task,T-S-MVP-07-4,TDD: Negative & edge,"Подзадача для S-MVP-07: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","profiles,api,tdd",Medium,,,S-MVP-07
Sub-task,T-S-MVP-07-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-07: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","profiles,api,tdd",Medium,,,S-MVP-07
Story,S-MVP-08,Get profile by ID (GET /api/v1/profiles/{id}),"Возврат профиля по id.

### Acceptance criteria (BDD)
Given существующий id
When GET /api/v1/profiles/{id}
Then 200; JSON соответствует схеме","profiles,api",Medium,3,,EP-MVP-2W
Sub-task,T-S-MVP-08-1,TDD: Red tests,"Подзадача для S-MVP-08: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","profiles,api,tdd",Medium,,,S-MVP-08
Sub-task,T-S-MVP-08-2,TDD: Green impl,"Подзадача для S-MVP-08: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","profiles,api,tdd",Medium,,,S-MVP-08
Sub-task,T-S-MVP-08-3,TDD: Refactor,"Подзадача для S-MVP-08: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","profiles,api,tdd",Medium,,,S-MVP-08
Sub-task,T-S-MVP-08-4,TDD: Negative & edge,"Подзадача для S-MVP-08: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","profiles,api,tdd",Medium,,,S-MVP-08
Sub-task,T-S-MVP-08-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-08: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","profiles,api,tdd",Medium,,,S-MVP-08
Story,S-MVP-09,Update profile (PUT /api/v1/profiles/{id}),"Редактирование полей; проверка владения по X-User-Id.

### Acceptance criteria (BDD)
Given профиль принадлежит пользователю
When PUT /api/v1/profiles/{id}
Then 200; обновлено","profiles,api",Medium,5,,EP-MVP-2W
Sub-task,T-S-MVP-09-1,TDD: Red tests,"Подзадача для S-MVP-09: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","profiles,api,tdd",Medium,,,S-MVP-09
Sub-task,T-S-MVP-09-2,TDD: Green impl,"Подзадача для S-MVP-09: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","profiles,api,tdd",Medium,,,S-MVP-09
Sub-task,T-S-MVP-09-3,TDD: Refactor,"Подзадача для S-MVP-09: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","profiles,api,tdd",Medium,,,S-MVP-09
Sub-task,T-S-MVP-09-4,TDD: Negative & edge,"Подзадача для S-MVP-09: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","profiles,api,tdd",Medium,,,S-MVP-09
Sub-task,T-S-MVP-09-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-09: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","profiles,api,tdd",Medium,,,S-MVP-09
Story,S-MVP-10,Soft delete (DELETE /api/v1/profiles/{id}),"isDeleted=true; скрывать из выборок.

### Acceptance criteria (BDD)
Given профиль существует и принадлежит пользователю
When DELETE /api/v1/profiles/{id}
Then 204; isDeleted=true","profiles,api",Medium,3,,EP-MVP-2W
Sub-task,T-S-MVP-10-1,TDD: Red tests,"Подзадача для S-MVP-10: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","profiles,api,tdd",Medium,,,S-MVP-10
Sub-task,T-S-MVP-10-2,TDD: Green impl,"Подзадача для S-MVP-10: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","profiles,api,tdd",Medium,,,S-MVP-10
Sub-task,T-S-MVP-10-3,TDD: Refactor,"Подзадача для S-MVP-10: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","profiles,api,tdd",Medium,,,S-MVP-10
Sub-task,T-S-MVP-10-4,TDD: Negative & edge,"Подзадача для S-MVP-10: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","profiles,api,tdd",Medium,,,S-MVP-10
Sub-task,T-S-MVP-10-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-10: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","profiles,api,tdd",Medium,,,S-MVP-10
Story,S-MVP-11,Discover by age + pagination,"Фильтрация по возрасту и пагинация; исключать isDeleted.

### Acceptance criteria (BDD)
Given разные возраста
When GET /profiles?ageMin&ageMax&page&size
Then 200; фильтрация+пагинация корректны","discovery,api",Medium,5,,EP-MVP-2W
Sub-task,T-S-MVP-11-1,TDD: Red tests,"Подзадача для S-MVP-11: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","discovery,api,tdd",Medium,,,S-MVP-11
Sub-task,T-S-MVP-11-2,TDD: Green impl,"Подзадача для S-MVP-11: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","discovery,api,tdd",Medium,,,S-MVP-11
Sub-task,T-S-MVP-11-3,TDD: Refactor,"Подзадача для S-MVP-11: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","discovery,api,tdd",Medium,,,S-MVP-11
Sub-task,T-S-MVP-11-4,TDD: Negative & edge,"Подзадача для S-MVP-11: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","discovery,api,tdd",Medium,,,S-MVP-11
Sub-task,T-S-MVP-11-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-11: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","discovery,api,tdd",Medium,,,S-MVP-11
Story,S-MVP-12,Actuator + Micrometer: базовые метрики,"Таймеры и счётчики CRUD/discover; /actuator/health.

### Acceptance criteria (BDD)
Given приложение запущено
When GET /actuator/health
Then UP; метрики доступны","observability,actuator,micrometer",Medium,2,,EP-MVP-2W
Sub-task,T-S-MVP-12-1,TDD: Red tests,"Подзадача для S-MVP-12: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","observability,actuator,micrometer,tdd",Medium,,,S-MVP-12
Sub-task,T-S-MVP-12-2,TDD: Green impl,"Подзадача для S-MVP-12: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","observability,actuator,micrometer,tdd",Medium,,,S-MVP-12
Sub-task,T-S-MVP-12-3,TDD: Refactor,"Подзадача для S-MVP-12: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","observability,actuator,micrometer,tdd",Medium,,,S-MVP-12
Sub-task,T-S-MVP-12-4,TDD: Negative & edge,"Подзадача для S-MVP-12: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","observability,actuator,micrometer,tdd",Medium,,,S-MVP-12
Sub-task,T-S-MVP-12-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-12: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","observability,actuator,micrometer,tdd",Medium,,,S-MVP-12
Story,S-MVP-13,CI: GitHub Actions + Jacoco≥70% + Testcontainers,"Build+тесты; покрытие 70%; Postgres Testcontainers.

### Acceptance criteria (BDD)
Given открыт PR
When запускается workflow
Then шаги зелёные; покрытие ≥70%","ci-cd,jacoco,testcontainers",Medium,3,,EP-MVP-2W
Sub-task,T-S-MVP-13-1,TDD: Red tests,"Подзадача для S-MVP-13: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","ci-cd,jacoco,testcontainers,tdd",Medium,,,S-MVP-13
Sub-task,T-S-MVP-13-2,TDD: Green impl,"Подзадача для S-MVP-13: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","ci-cd,jacoco,testcontainers,tdd",Medium,,,S-MVP-13
Sub-task,T-S-MVP-13-3,TDD: Refactor,"Подзадача для S-MVP-13: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","ci-cd,jacoco,testcontainers,tdd",Medium,,,S-MVP-13
Sub-task,T-S-MVP-13-4,TDD: Negative & edge,"Подзадача для S-MVP-13: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","ci-cd,jacoco,testcontainers,tdd",Medium,,,S-MVP-13
Sub-task,T-S-MVP-13-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-13: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","ci-cd,jacoco,testcontainers,tdd",Medium,,,S-MVP-13
