Issue Type,Issue Id,Summary,Description,Acceptance Criteria (BDD),Labels,Components,Priority,Story Points,Epic Name,Epic Link,Parent Id
Sub-task,T-S-MVP-06-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"security,lean,tdd",profile-service,Medium,,,,S-MVP-06
Story,S-MVP-07,Create profile (POST /api/v1/profiles),"Поля: name, age>=18, bio<=500, location; валидация; сохранение в Postgres (JPA).","Given валидный X-User-Id и тело запроса
When POST /api/v1/profiles
Then 201 + JSON с profileId; запись создана в БД","profiles,api",profile-service,High,5,,EP-MVP-2W,
Sub-task,T-S-MVP-07-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"profiles,api,tdd",profile-service,High,,,,S-MVP-07
Sub-task,T-S-MVP-07-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"profiles,api,tdd",profile-service,High,,,,S-MVP-07
Sub-task,T-S-MVP-07-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-07
Sub-task,T-S-MVP-07-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-07
Sub-task,T-S-MVP-07-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-07
Story,S-MVP-08,Get profile by ID (GET /api/v1/profiles/{id}),"Возврат профиля по id, DTO/mapper.","Given существующий profileId
When GET /api/v1/profiles/{id}
Then 200; JSON соответствует схеме","profiles,api",profile-service,High,3,,EP-MVP-2W,
Sub-task,T-S-MVP-08-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"profiles,api,tdd",profile-service,High,,,,S-MVP-08
Sub-task,T-S-MVP-08-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"profiles,api,tdd",profile-service,High,,,,S-MVP-08
Sub-task,T-S-MVP-08-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-08
Sub-task,T-S-MVP-08-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-08
Sub-task,T-S-MVP-08-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-08
Story,S-MVP-09,Update profile (PUT /api/v1/profiles/{id}),Редактирование полей; проверка владения по X-User-Id.,"Given профиль принадлежит пользователю
When PUT /api/v1/profiles/{id}
Then 200; поля обновлены в БД","profiles,api",profile-service,High,5,,EP-MVP-2W,
Sub-task,T-S-MVP-09-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"profiles,api,tdd",profile-service,High,,,,S-MVP-09
Sub-task,T-S-MVP-09-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"profiles,api,tdd",profile-service,High,,,,S-MVP-09
Sub-task,T-S-MVP-09-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-09
Sub-task,T-S-MVP-09-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-09
Sub-task,T-S-MVP-09-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-09
Story,S-MVP-10,Soft delete (DELETE /api/v1/profiles/{id}),Пометка isDeleted=true; скрывать удалённые из выборок.,"Given профиль существует и принадлежит пользователю
When DELETE /api/v1/profiles/{id}
Then 204; isDeleted=true; повторные GET не возвращают запись","profiles,api",profile-service,High,3,,EP-MVP-2W,
Sub-task,T-S-MVP-10-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"profiles,api,tdd",profile-service,High,,,,S-MVP-10
Sub-task,T-S-MVP-10-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"profiles,api,tdd",profile-service,High,,,,S-MVP-10
Sub-task,T-S-MVP-10-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-10
Sub-task,T-S-MVP-10-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-10
Sub-task,T-S-MVP-10-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"profiles,api,tdd",profile-service,Medium,,,,S-MVP-10
Story,S-MVP-11,Discover by age + pagination (GET /api/v1/profiles?ageMin&ageMax&page&size),"Фильтрация по возрастному диапазону, Pageable; исключать isDeleted.","Given анкеты разных возрастов
When GET /profiles?ageMin=25&ageMax=35&page=0&size=20
Then 200; профили соответствуют диапазону; пагинация корректна","discovery,api",profile-service,High,5,,EP-MVP-2W,
Sub-task,T-S-MVP-11-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"discovery,api,tdd",profile-service,High,,,,S-MVP-11
Sub-task,T-S-MVP-11-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"discovery,api,tdd",profile-service,High,,,,S-MVP-11
Sub-task,T-S-MVP-11-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"discovery,api,tdd",profile-service,Medium,,,,S-MVP-11
Sub-task,T-S-MVP-11-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"discovery,api,tdd",profile-service,Medium,,,,S-MVP-11
Sub-task,T-S-MVP-11-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"discovery,api,tdd",profile-service,Medium,,,,S-MVP-11
Story,S-MVP-12,Actuator + Micrometer: метрики таймингов по ключевым ручкам,Включить таймеры и счётчики для CRUD и discover; endpoint /actuator/prometheus при необходимости.,"Given приложение запущено
When GET /actuator/health
Then статус UP
And метрики по CRUD/discover доступны","observability,actuator,micrometer",profile-service,High,2,,EP-MVP-2W,
Sub-task,T-S-MVP-12-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"observability,actuator,micrometer,tdd",profile-service,High,,,,S-MVP-12
Sub-task,T-S-MVP-12-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"observability,actuator,micrometer,tdd",profile-service,High,,,,S-MVP-12
Sub-task,T-S-MVP-12-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"observability,actuator,micrometer,tdd",profile-service,Medium,,,,S-MVP-12
Sub-task,T-S-MVP-12-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"observability,actuator,micrometer,tdd",profile-service,Medium,,,,S-MVP-12
Sub-task,T-S-MVP-12-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"observability,actuator,micrometer,tdd",profile-service,Medium,,,,S-MVP-12
Story,S-MVP-13,CI (GitHub Actions): build + tests + Jacoco ≥70% + Testcontainers,"Workflow с сборкой, юнит/интеграционными тестами (Postgres Testcontainers), порог покрытия 70%.","Given открыт PR
When запускается workflow
Then все шаги зелёные; покрытие ≥70%; PR блокируется при провале","ci-cd,jacoco,testcontainers",platform,High,3,,EP-MVP-2W,
Sub-task,T-S-MVP-13-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"ci-cd,jacoco,testcontainers,tdd",profile-service,High,,,,S-MVP-13
Sub-task,T-S-MVP-13-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"ci-cd,jacoco,testcontainers,tdd",profile-service,High,,,,S-MVP-13
Sub-task,T-S-MVP-13-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"ci-cd,jacoco,testcontainers,tdd",profile-service,Medium,,,,S-MVP-13
Sub-task,T-S-MVP-13-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"ci-cd,jacoco,testcontainers,tdd",profile-service,Medium,,,,S-MVP-13
Sub-task,T-S-MVP-13-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"ci-cd,jacoco,testcontainers,tdd",profile-service,Medium,,,,S-MVP-13
